Имя;цена
SOTL;396.00
SUVENPHAR;628.00
SVPGLOB;7.05
VMART;1,873.10
MIDHANI;351.50
MTARTECH;1,700.00
JKTYRE;430.05
MAPMYINDIA;1,611.05
MBLINFRA;40.95
MSUMI;61.10
CLEDUCATE;80.20
KIRLOSENG;755.00
GPPL;173.10
RAIN;152.95
ELIN;131.00
SUKHJITS;417.10
KANPRPLA;97.05
DIXON;6,553.20
JKIL;542.45
TATAMTRDVR;638.00
RML;640.20
GRWRHITECH;1,590.00
LUPIN;1,591.00
HATHWAY;19.00
SASKEN;1,398.05
CHAMBLFERT;335.10
SMARTLINK;158.00
SJVN;100.40
FDC;420.40
EROSMEDIA;18.60
PPLPHARMA;117.75
DELHIVERY;420.05
HNDFDS;473.00
DPABHUSHAN;700.00
MANORG;304.95
WELENT;285.00
AHLADA;96.05
IEX;132.00
TATACOMM;1,870.00
GREENPANEL;327.55
DENORA;1,392.15
ATFL;653.45
RKEC;76.05
TATAMOTORS;964.95
VENUSREM;285.10
CONSOFINVT;215.00
EMSLIMITED;366.00
CMSINFO;376.00
BHARATRAS;8,400.00
SUBROS;491.00
POLYPLEX;766.80
ACI;602.00
GLENMARK;890.55
ALEMBICLTD;78.90
MOREPENLAB;39.00
FORTIS;382.10
BAJAJHIND;27.60
CLSEL;204.00
CONTROLPR;887.05
IDFCFIRSTB;76.80
AARTISURF;570.00
SANGHIIND;98.00
GODREJCP;1,185.05
MEGASOFT;70.00
JSWINFRA;213.50
VTL;400.00
PODDARMENT;330.05
KHADIM;303.00
TCI;765.05
LIBERTSHOE;260.00
JAYAGROGN;205.00
KSHITIJPOL;5.25
NAM-INDIA;441.00
ASTRAL;1,982.25
NMDC;203.50
SOUTHBANK;26.00
SONAMAC;130.00
ASHOKA;144.60
INDIGRID;130.10
BATAINDIA;1,390.00
ORICONENT;30.60
TEMBO;270.00
SHANTI;15.20
CARERATING;1,085.00
COSMOFIRST;458.00
SAGCEM;210.00
DELAPLEX;200.00
GINNIFILA;30.00
LLOYDSME;535.00
J&KBANK;118.90
RPSGVENT;625.40
STARHEALTH;540.00
RITCO;191.20
CSBBANK;332.40
SAREGAMA;342.05
LIKHITHA;238.10
MBAPL;238.00
TDPOWERSYS;262.05
STYRENIX;1,291.00
DJML;134.60
SHREYANIND;197.00
KSOLVES;1,040.35
ZOMATO;147.10
PARAGON;109.10
HITECH;109.00
ETHOSLTD;2,550.00
MRPL;187.00
ASHOKLEY;158.10
EMMBI;88.25
SANGAMIND;366.90
NOCIL;222.00
PENINLAND;45.80
IIFL;380.00
SANSERA;919.55
UNOMINDA;614.00
PRAJIND;450.00
BALKRISIND;2,260.00
PLAZACABLE;80.00
AGSTRA;66.50
ONGC;252.50
BEML;2,705.05
TRENT;3,900.00
TRACXN;79.30
RAJSREESUG;57.05
APTUS;307.05
ASHOKAMET;21.90
BANKINDIA;127.00
ONWARDTEC;436.00
NAHARPOLY;183.00
GPTHEALTH;143.55
PAKKA;252.00
NYKAA;147.70
DIAMINESQ;502.05
NECLIFE;30.05
